package_id,archive,archive_type,setup_py_count,ast_parsed_setup_count,regex_parsed_setup_count,setup_without_detected_imports,unique_import_count,total_import_occurrences,standard_unique_imports,third_party_or_other_unique_imports,status
altair-5.4.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\altair-5.4.1.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
amazon_pay-2.7.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amazon_pay-2.7.1.tar.gz,tar,1,1,0,0,2,2,0,2,imports detected
amazoned-0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amazoned-0.1.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
amazonpy-2.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amazonpy-2.0.0.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
amazontrends-0.0.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amazontrends-0.0.6.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
amcheck-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amcheck-1.0.0.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
amkiller-0.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amkiller-0.0.1.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aml-pipeline-0.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aml-pipeline-0.0.1.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
amtool-0.1.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amtool-0.1.9.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
analiz-1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\analiz-1.0.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
Analogy-0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\Analogy-0.1.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
analytics-python-1.4.post1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\analytics-python-1.4.post1.tar.gz,tar,1,1,0,0,5,5,3,2,imports detected
Analyze-1.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\Analyze-1.0.1.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
analyzere-0.7.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\analyzere-0.7.1.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
android_keygen-1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\android_keygen-1.tar.gz,tar,1,1,0,0,3,3,1,2,imports detected
android_prober-0.1.7,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\android_prober-0.1.7.tar.gz,tar,1,1,0,0,4,5,3,1,imports detected
andystring-1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\andystring-1.0.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
aniso8601-9.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aniso8601-9.0.1.tar.gz,tar,1,1,0,0,4,4,2,2,imports detected
annotate-1.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\annotate-1.0.9.zip,zip,1,1,0,0,4,4,3,1,imports detected
annotated_types-0.7.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\annotated_types-0.7.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
