package_id,archive,archive_type,setup_py_count,ast_parsed_setup_count,regex_parsed_setup_count,setup_without_detected_imports,unique_import_count,total_import_occurrences,standard_unique_imports,third_party_or_other_unique_imports,status
aio.http-0.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aio.http-0.0.9.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
aiobotocore-2.15.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiobotocore-2.15.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aioconsole-0.7.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aioconsole-0.7.1.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
aioconsole-0.8.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aioconsole-0.8.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aiofiles-24.1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiofiles-24.1.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aiogram-3.9.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiogram-3.9.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aiogram_pytest-0.1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiogram_pytest-0.1.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aiogram_test-0.1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiogram_test-0.1.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aiohappyeyeballs-2.4.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohappyeyeballs-2.4.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aiohttp-4.0.0a1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp-4.0.0a1.tar.gz,tar,1,1,0,0,5,5,4,1,imports detected
aiohttp_asgi_connector-1.0.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp_asgi_connector-1.0.2.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aiohttp_proxy-0.1.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp_proxy-0.1.2.tar.gz,tar,1,1,0,0,6,6,5,1,imports detected
aiohttp_request-0.0.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp_request-0.0.2.tar.gz,tar,1,1,0,0,4,4,3,1,imports detected
aiohttp_socks-0.9.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp_socks-0.9.0.tar.gz,tar,1,1,0,0,4,4,3,1,imports detected
aiohttp_socksx-0.8.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttp_socksx-0.8.4.tar.gz,tar,1,1,0,0,4,4,3,1,imports detected
aiohttpx-0.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohttpx-0.0.9.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
aiohypixel-0.2.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiohypixel-0.2.1.tar.gz,tar,1,1,0,0,1,1,1,0,imports detected
aioitertools-0.12.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aioitertools-0.12.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
