package_id,archive,archive_type,setup_member,setup_size_bytes,parser,unique_import_count,total_import_occurrences,imports
allocutez-1.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\allocutez-1.1.tar.gz,tar,allocutez-1.1/setup.py,1591,ast,2,2,distutils; pathlib
allow-0.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\allow-0.0.3.tar.gz,tar,allow-0.0.3/setup.py,1644,ast,6,7,distutils; pypandoc; pytest; setuptools; subprocess; sys
almost-0.1.dev,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\almost-0.1.dev.tar.gz,tar,almost-0.1.dev/setup.py,2188,ast,4,5,__future__; re; setuptools; sys
amazon_pay-2.7.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amazon_pay-2.7.1.tar.gz,tar,amazon_pay-2.7.1/setup.py,1235,ast,2,2,amazon_pay; setuptools
amazoned-0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amazoned-0.1.tar.gz,tar,amazoned-0.1/setup.py,552,ast,1,1,setuptools
amazonpy-2.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amazonpy-2.0.0.tar.gz,tar,amazonpy-2.0.0/setup.py,993,ast,3,3,codecs; os; setuptools
amazontrends-0.0.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amazontrends-0.0.6.tar.gz,tar,amazontrends-0.0.6/setup.py,759,ast,2,2,os; setuptools
amcheck-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amcheck-1.0.0.tar.gz,tar,amcheck-1.0.0/setup.py,7486,ast,1,1,setuptools
aml-pipeline-0.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aml-pipeline-0.0.1.tar.gz,tar,aml-pipeline-0.0.1/setup.py,785,ast,1,1,setuptools
amtool-0.1.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\amtool-0.1.9.tar.gz,tar,amtool-0.1.9/setup.py,1754,ast,1,1,setuptools
analiz-1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\analiz-1.0.tar.gz,tar,analiz-1.0/setup.py,586,ast,1,1,setuptools
Analogy-0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\Analogy-0.1.tar.gz,tar,Analogy-0.1/setup.py,801,ast,1,1,setuptools
analytics-python-1.4.post1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\analytics-python-1.4.post1.tar.gz,tar,analytics-python-1.4.post1/setup.py,2418,ast,5,5,distutils; os; setuptools; sys; version
Analyze-1.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\Analyze-1.0.1.tar.gz,tar,Analyze-1.0.1/setup.py,2246,ast,1,1,setuptools
android_keygen-1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\android_keygen-1.tar.gz,tar,android_keygen-1/setup.py,646,ast,3,3,constants; setuptools; sys
android_prober-0.1.7,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\android_prober-0.1.7.tar.gz,tar,android_prober-0.1.7/setup.py,990,ast,4,5,os; pathlib; setuptools; sys
andystring-1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\andystring-1.0.tar.gz,tar,andystring-1.0/setup.py,1196,ast,1,1,setuptools
aniso8601-9.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aniso8601-9.0.1.tar.gz,tar,aniso8601-9.0.1/setup.py,1957,ast,4,4,aniso8601; os; setuptools; sys
annotate-1.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\annotate-1.0.9.zip,zip,annotate-1.0.9/setup.py,812,ast,4,4,glob; io; os; setuptools
AnsiColorsLib-1.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\AnsiColorsLib-1.0.3.tar.gz,tar,AnsiColorsLib-1.0.3/setup.py,767,ast,1,1,setuptools
anson-0.0.0a0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\anson-0.0.0a0.tar.gz,tar,anson-0.0.0a0/setup.py,823,ast,1,2,setuptools
antchain_abcdjb-1.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_abcdjb-1.0.3.tar.gz,tar,antchain_abcdjb-1.0.3/setup.py,2503,ast,2,2,os; setuptools
antchain_abcdjb1-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_abcdjb1-1.0.0.tar.gz,tar,antchain_abcdjb1-1.0.0/setup.py,2508,ast,2,2,os; setuptools
antchain_acc-1.1.51,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_acc-1.1.51.tar.gz,tar,antchain_acc-1.1.51/setup.py,2488,ast,2,2,os; setuptools
antchain_account-1.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_account-1.0.9.tar.gz,tar,antchain_account-1.0.9/setup.py,2508,ast,2,2,os; setuptools
antchain_acm-1.5.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_acm-1.5.2.tar.gz,tar,antchain_acm-1.5.2/setup.py,2489,ast,2,2,os; setuptools
antchain_acs_iot-1.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_acs_iot-1.0.1.tar.gz,tar,antchain_acs_iot-1.0.1/setup.py,2510,ast,2,2,os; setuptools
antchain_baas_midway-1.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_baas_midway-1.0.1.tar.gz,tar,antchain_baas_midway-1.0.1/setup.py,2530,ast,2,2,os; setuptools
antchain_baasplus-1.2.8,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_baasplus-1.2.8.tar.gz,tar,antchain_baasplus-1.2.8/setup.py,2514,ast,2,2,os; setuptools
antchain_billing-1.3.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_billing-1.3.1.tar.gz,tar,antchain_billing-1.3.1/setup.py,2508,ast,2,2,os; setuptools
